cik,ticker,accession,form,filing_date,period_of_report,doc_type,exhibit_label,document,doc_url
0001646972,ACI,0001646972-25-000087,8-K,2025-10-15,2025-10-14,primary,,aci-20251014.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000087/aci-20251014.htm
0001646972,ACI,0001646972-25-000087,8-K,2025-10-15,2025-10-14,exhibit,EX-99.1,ex991-asrpressrelease.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000087/ex991-asrpressrelease.htm
0001646972,ACI,0001646972-25-000080,8-K,2025-10-14,2025-10-14,primary,,aci-20251014.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000080/aci-20251014.htm
0001646972,ACI,0001646972-25-000080,8-K,2025-10-14,2025-10-14,exhibit,EX-99.1,aciq225earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000080/aciq225earningsrelease.htm
0001646972,ACI,0001646972-25-000083,10-Q,2025-10-14,2025-09-06,primary,,aci-20250906.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000083/aci-20250906.htm
0001646972,ACI,0001646972-25-000073,8-K,2025-09-17,2025-09-11,primary,,aci-20250911.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000073/aci-20250911.htm
0001646972,ACI,0001646972-25-000073,8-K,2025-09-17,2025-09-11,exhibit,EX-99.1,ex991-pressreleaseboard.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000073/ex991-pressreleaseboard.htm
0001646972,ACI,0000950103-25-010782,8-K,2025-08-27,2025-08-27,primary,,dp233510_8k.htm,https://www.sec.gov/Archives/edgar/data/1646972/000095010325010782/dp233510_8k.htm
0001646972,ACI,0001646972-25-000067,8-K,2025-08-13,2025-08-07,primary,,aci-20250807.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000067/aci-20250807.htm
0001646972,ACI,0001646972-25-000063,10-Q,2025-07-22,2025-06-14,primary,,aci-20250614.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000063/aci-20250614.htm
0001646972,ACI,0001646972-25-000059,8-K,2025-07-15,2025-07-15,primary,,aci-20250715.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000059/aci-20250715.htm
0001646972,ACI,0001646972-25-000059,8-K,2025-07-15,2025-07-15,exhibit,EX-99.1,aciq125earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000059/aciq125earningsrelease.htm
0001646972,ACI,0001646972-25-000040,8-K,2025-04-15,2025-04-15,primary,,aci-20250415.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000040/aci-20250415.htm
0001646972,ACI,0001646972-25-000040,8-K,2025-04-15,2025-04-15,exhibit,EX-99.1,aciq424earningsrelease.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000040/aciq424earningsrelease.htm
0001646972,ACI,0001646972-25-000034,8-K,2025-03-11,2025-03-11,primary,,aci-20250311.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000034/aci-20250311.htm
0001646972,ACI,0001646972-25-000028,8-K,2025-03-03,2025-02-27,primary,,aci-20250227.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000028/aci-20250227.htm
0001646972,ACI,0001646972-25-000028,8-K,2025-03-03,2025-02-27,exhibit,EX-99.1,ex991-pressreleaseceo.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000028/ex991-pressreleaseceo.htm
0001646972,ACI,0001646972-25-000022,8-K,2025-02-21,2025-02-21,primary,,aci-20250221.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000022/aci-20250221.htm
0001646972,ACI,0001646972-25-000016,8-K,2025-02-19,2025-02-19,primary,,aci-20250219.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000016/aci-20250219.htm
0001646972,ACI,0001646972-25-000016,8-K,2025-02-19,2025-02-19,exhibit,EX-99.1,february2025bondlaunch.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000016/february2025bondlaunch.htm
0001646972,ACI,0001646972-25-000016,8-K,2025-02-19,2025-02-19,exhibit,EX-99.2,february2025bondprice.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000016/february2025bondprice.htm
0001646972,ACI,0001646972-25-000011,8-K,2025-02-14,2025-02-14,primary,,aci-20250214.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000011/aci-20250214.htm
0001646972,ACI,0001646972-25-000007,8-K,2025-01-08,2025-01-08,primary,,aci-20250108.htm,https://www.sec.gov/Archives/edgar/data/1646972/000164697225000007/aci-20250108.htm
